Group No.,Material Classification,Metallurgy Code,Shop Code,Parent Code,Weight Code,Material,Group#,Sched,% Adder *,Size,Value,,1
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,3,0.495,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,4,0.54,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,6,0.62,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,8,0.7,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,10,0.765,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,12,0.81,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,14,0.88,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,16,0.945,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,18,1.06,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,20,1.17,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,24,1.31,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,30,1.638,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,36,1.966,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,42,2.293,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,48,2.293,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,54,2.293,,
3,Chrome 6.0% to 15% and Nickel 3.5%,637,607,05,ST,CM,3,ST,1.2,60,2.293,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,0.5,0.475,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,0.75,0.475,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,1,0.475,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,1.5,0.475,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,2,0.475,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,2.5,0.475,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,3,0.52,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,4,0.57,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,6,0.635,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,8,0.72,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,10,0.81,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,12,0.86,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,14,0.93,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,16,1,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,18,1.12,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,20,1.235,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,24,1.39,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,30,1.737,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,36,2.084,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,42,2.432,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,48,2.432,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,54,2.432,,
4,"Stainless Steel 304, 309, 310, 316 L & H Grades",634,604,02,ST,SS,4,ST,0.8,60,2.432,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,0.5,0.2,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,0.75,0.2,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,1,0.2,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,1.5,0.2,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,2,0.2,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,2.5,0.2,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,3,0.23,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,4,0.25,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,6,0.3,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,8,0.5,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,10,0.75,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,12,0.8,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,14,1,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,16,1.1,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,18,1.15,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,20,1.25,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,24,1.4,,
5,Copper,638,608,09,ST,CB,5,ST,0.8,30,1.7496,,
