Member,LB/LF,Steel Type, Factor , LB/LF2 , TNS/Unit ,Kg/M,MH/Unit,Hours,SF per LF,QTO UoM,UoM,Notes
W36x182,182,Extra Heavy, 1.05 , 191.10 , 0.096 ,270.8458561,10, 0.96 ,9.98,LF,TONS,Member
W36x194,194,Extra Heavy, 1.05 , 203.70 , 0.102 ,288.7038246,10, 1.02 ,10.00,LF,TONS,Member
W36x210,210,Extra Heavy, 1.05 , 220.50 , 0.110 ,312.5144493,10, 1.10 ,10.03,LF,TONS,Member
W36x230,230,Extra Heavy, 1.05 , 241.50 , 0.121 ,342.2777302,10, 1.21 ,11.35,LF,TONS,Member
W36x232,232,Extra Heavy, 1.05 , 243.60 , 0.122 ,345.2540583,10, 1.22 ,10.08,LF,TONS,Member
W36x245,245,Extra Heavy, 1.05 , 257.25 , 0.129 ,364.6001908,10, 1.29 ,11.39,LF,TONS,Member
W36x256,256,Extra Heavy, 1.05 , 268.80 , 0.134 ,380.9699953,10, 1.34 ,10.15,LF,TONS,Member
W36x260,260,Extra Heavy, 1.05 , 273.00 , 0.137 ,386.9226515,10, 1.37 ,11.41,LF,TONS,Member
W36x280,280,Extra Heavy, 1.05 , 294.00 , 0.147 ,416.6859324,10, 1.47 ,11.48,LF,TONS,Member
W36x300,300,Extra Heavy, 1.05 , 315.00 , 0.158 ,446.4492133,10, 1.58 ,11.51,LF,TONS,Member
W36x328,328,Extra Heavy, 1.05 , 344.40 , 0.172 ,488.1178065,10, 1.72 ,11.56,LF,TONS,Member
W36x359,359,Extra Heavy, 1.05 , 376.95 , 0.188 ,534.2508919,10, 1.88 ,11.63,LF,TONS,Member
W36x393,393,Extra Heavy, 1.05 , 412.65 , 0.206 ,584.8484694,10, 2.06 ,11.71,LF,TONS,Member
W36x439,439,Extra Heavy, 1.05 , 460.95 , 0.230 ,653.3040154,10, 2.30 ,11.81,LF,TONS,Member
W36x485,485,Extra Heavy, 1.05 , 509.25 , 0.255 ,721.7595615,10, 2.55 ,11.92,LF,TONS,Member
W36x527,527,Extra Heavy, 1.05 , 553.35 , 0.277 ,784.2624513,10, 2.77 ,12.02,LF,TONS,Member
W36x588,588,Extra Heavy, 1.05 , 617.40 , 0.309 ,875.040458,10, 3.09 ,12.14,LF,TONS,Member
W36x650,650,Extra Heavy, 1.05 , 682.50 , 0.341 ,967.3066288,10, 3.41 ,12.29,LF,TONS,Member
W36x720,720,Extra Heavy, 1.05 , 756.00 , 0.378 ,1071.478112,10, 3.78 ,12.43,LF,TONS,Member
W36x798,798,Extra Heavy, 1.05 , 837.90 , 0.419 ,1187.554907,10, 4.19 ,12.60,LF,TONS,Member
W36x848,848,Extra Heavy, 1.05 , 890.40 , 0.445 ,1261.96311,10, 4.45 ,12.71,LF,TONS,Member
W40x149,149,Extra Heavy, 1.05 , 156.45 , 0.078 ,221.7364426,10, 0.78 ,10.19,LF,TONS,Member
W40x167,167,Extra Heavy, 1.05 , 175.35 , 0.088 ,248.5233954,10, 0.88 ,10.25,LF,TONS,Member
W40x183,183,Extra Heavy, 1.05 , 192.15 , 0.096 ,272.3340201,10, 0.96 ,10.31,LF,TONS,Member
W40x192,192,Extra Heavy, 1.05 , 201.60 , 0.101 ,285.7274965,10, 1.01 ,12.18,LF,TONS,Member
W40x199,199,Extra Heavy, 1.05 , 208.95 , 0.104 ,296.1446448,10, 1.04 ,11.58,LF,TONS,Member
